,id,latitude,longitude,measuretype,HSW,GlW,Ort
62,FTS49972718333,49.972718333,7.900803333,exact,490,100,Bingen
65,FTS50083051667,50.083051667,7.764246667,exact,640,78,Kaub
66,FTS5010648,50.10648,8.716451667,exact,370,154,Frankfurt
68,FTS50358843333,50.358843333,7.606618333,exact,650,78,Koblenz
70,FTS50614718333,50.614718333,7.21227,exact,680,89,Oberwinter
71,FTS50937113333,50.937113333,6.965463333,exact,830,139,Köln
72,FTS51226176667,51.226176667,6.768053333,exact,880,97,Düsseldorf
75,FTS51646538333,51.646538333,6.604373333,exact,1060,177,Wesel
78,FTS51827628333,51.827628333,6.243198333,exact,870,84,Emmerich
82,FTS51900378333,51.900378333,5.454506667,exact,,,Waal
83,FTS51950926667,51.950926667,5.9512,exact,,,Nederrijn
